symbol,name,date,price
GOOGL,Alphabet Inc Class A,Sep 2010,247.51
GOOGL,Alphabet Inc Class A,Oct 2010,288.26
GOOGL,Alphabet Inc Class A,Nov 2010,301.31
GOOGL,Alphabet Inc Class A,Dec 2010,296.07
GOOGL,Alphabet Inc Class A,Jan 2011,308.03
GOOGL,Alphabet Inc Class A,Feb 2011,308.73
GOOGL,Alphabet Inc Class A,Mar 2011,291.42
GOOGL,Alphabet Inc Class A,Apr 2011,277.56
GOOGL,Alphabet Inc Class A,May 2011,264.94
GOOGL,Alphabet Inc Class A,Jun 2011,251.7
GOOGL,Alphabet Inc Class A,Jul 2011,287.16
GOOGL,Alphabet Inc Class A,Aug 2011,273.85
GOOGL,Alphabet Inc Class A,Sep 2011,266.35
GOOGL,Alphabet Inc Class A,Oct 2011,281.15
GOOGL,Alphabet Inc Class A,Nov 2011,297.52
GOOGL,Alphabet Inc Class A,Dec 2011,313.98
GOOGL,Alphabet Inc Class A,Jan 2012,307.75
GOOGL,Alphabet Inc Class A,Feb 2012,303.5
GOOGL,Alphabet Inc Class A,Mar 2012,313.95
GOOGL,Alphabet Inc Class A,Apr 2012,310.03
GOOGL,Alphabet Inc Class A,May 2012,303.0
GOOGL,Alphabet Inc Class A,Jun 2012,285.6
GOOGL,Alphabet Inc Class A,Jul 2012,298.32
GOOGL,Alphabet Inc Class A,Aug 2012,331.59
GOOGL,Alphabet Inc Class A,Sep 2012,359.51
GOOGL,Alphabet Inc Class A,Oct 2012,363.39
GOOGL,Alphabet Inc Class A,Nov 2012,335.39
GOOGL,Alphabet Inc Class A,Dec 2012,352.0
GOOGL,Alphabet Inc Class A,Jan 2013,367.46
GOOGL,Alphabet Inc Class A,Feb 2013,394.66
GOOGL,Alphabet Inc Class A,Mar 2013,409.4
GOOGL,Alphabet Inc Class A,Apr 2013,398.6
GOOGL,Alphabet Inc Class A,May 2013,438.76
GOOGL,Alphabet Inc Class A,Jun 2013,439.07
GOOGL,Alphabet Inc Class A,Jul 2013,451.16
GOOGL,Alphabet Inc Class A,Aug 2013,437.96
GOOGL,Alphabet Inc Class A,Sep 2013,443.09
GOOGL,Alphabet Inc Class A,Oct 2013,469.82
GOOGL,Alphabet Inc Class A,Nov 2013,515.94
GOOGL,Alphabet Inc Class A,Dec 2013,542.72
GOOGL,Alphabet Inc Class A,Jan 2014,568.76
GOOGL,Alphabet Inc Class A,Feb 2014,595.68
GOOGL,Alphabet Inc Class A,Mar 2014,591.81
GOOGL,Alphabet Inc Class A,Apr 2014,546.56
GOOGL,Alphabet Inc Class A,May 2014,542.98
GOOGL,Alphabet Inc Class A,Jun 2014,567.28
GOOGL,Alphabet Inc Class A,Jul 2014,592.49
GOOGL,Alphabet Inc Class A,Aug 2014,583.34
GOOGL,Alphabet Inc Class A,Sep 2014,592.13
GOOGL,Alphabet Inc Class A,Oct 2014,557.54
GOOGL,Alphabet Inc Class A,Nov 2014,552.54
GOOGL,Alphabet Inc Class A,Dec 2014,529.19
GOOGL,Alphabet Inc Class A,Jan 2015,515.92
GOOGL,Alphabet Inc Class A,Feb 2015,540.99
GOOGL,Alphabet Inc Class A,Mar 2015,565.97
GOOGL,Alphabet Inc Class A,Apr 2015,549.48
GOOGL,Alphabet Inc Class A,May 2015,547.68
GOOGL,Alphabet Inc Class A,Jun 2015,550.8
GOOGL,Alphabet Inc Class A,Jul 2015,617.47
GOOGL,Alphabet Inc Class A,Aug 2015,667.66
GOOGL,Alphabet Inc Class A,Sep 2015,647.79
GOOGL,Alphabet Inc Class A,Oct 2015,691.56
GOOGL,Alphabet Inc Class A,Nov 2015,759.64
GOOGL,Alphabet Inc Class A,Dec 2015,771.04
GOOGL,Alphabet Inc Class A,Jan 2016,736.66
GOOGL,Alphabet Inc Class A,Feb 2016,724.39
GOOGL,Alphabet Inc Class A,Mar 2016,746.79
GOOGL,Alphabet Inc Class A,Apr 2016,756.61
GOOGL,Alphabet Inc Class A,May 2016,726.53
GOOGL,Alphabet Inc Class A,Jun 2016,719.59
GOOGL,Alphabet Inc Class A,Jul 2016,741.07
GOOGL,Alphabet Inc Class A,Aug 2016,800.21
GOOGL,Alphabet Inc Class A,Sep 2016,801.62
GOOGL,Alphabet Inc Class A,Oct 2016,813.65
GOOGL,Alphabet Inc Class A,Nov 2016,784.74
GOOGL,Alphabet Inc Class A,Dec 2016,800.62
GOOGL,Alphabet Inc Class A,Jan 2017,830.25
GOOGL,Alphabet Inc Class A,Feb 2017,836.75
GOOGL,Alphabet Inc Class A,Mar 2017,853.79
GOOGL,Alphabet Inc Class A,Apr 2017,861.38
GOOGL,Alphabet Inc Class A,May 2017,961.65
GOOGL,Alphabet Inc Class A,Jun 2017,973.37
GOOGL,Alphabet Inc Class A,Jul 2017,963.44
GOOGL,Alphabet Inc Class A,Aug 2017,937.96
GOOGL,Alphabet Inc Class A,Sep 2017,945.88
GOOGL,Alphabet Inc Class A,Oct 2017,999.14
GOOGL,Alphabet Inc Class A,Nov 2017,1046.98
GOOGL,Alphabet Inc Class A,Dec 2017,1053.92
GOOGL,Alphabet Inc Class A,Jan 2018,1139.39
GOOGL,Alphabet Inc Class A,Feb 2018,1100.6
AAPL,Apple Inc.,Jan 2010,29.67
AAPL,Apple Inc.,Feb 2010,28.4
AAPL,Apple Inc.,Mar 2010,31.92
AAPL,Apple Inc.,Apr 2010,35.88
AAPL,Apple Inc.,May 2010,35.92
AAPL,Apple Inc.,Jun 2010,37.31
AAPL,Apple Inc.,Jul 2010,36.42
AAPL,Apple Inc.,Aug 2010,35.9
AAPL,Apple Inc.,Sep 2010,39.12
AAPL,Apple Inc.,Oct 2010,42.99
AAPL,Apple Inc.,Nov 2010,44.51
AAPL,Apple Inc.,Dec 2010,45.93
AAPL,Apple Inc.,Jan 2011,48.34
AAPL,Apple Inc.,Feb 2011,50.17
AAPL,Apple Inc.,Mar 2011,49.64
AAPL,Apple Inc.,Apr 2011,48.63
AAPL,Apple Inc.,May 2011,48.83
AAPL,Apple Inc.,Jun 2011,47.3
AAPL,Apple Inc.,Jul 2011,53.18
AAPL,Apple Inc.,Aug 2011,53.82
AAPL,Apple Inc.,Sep 2011,56.07
AAPL,Apple Inc.,Oct 2011,56.75
AAPL,Apple Inc.,Nov 2011,54.97
AAPL,Apple Inc.,Dec 2011,56.13
AAPL,Apple Inc.,Jan 2012,61.23
AAPL,Apple Inc.,Feb 2012,71.08
AAPL,Apple Inc.,Mar 2012,82.5
AAPL,Apple Inc.,Apr 2012,86.57
AAPL,Apple Inc.,May 2012,80.67
AAPL,Apple Inc.,Jun 2012,82.08
AAPL,Apple Inc.,Jul 2012,85.87
AAPL,Apple Inc.,Aug 2012,91.81
AAPL,Apple Inc.,Sep 2012,97.37
AAPL,Apple Inc.,Oct 2012,90.67
AAPL,Apple Inc.,Nov 2012,80.62
AAPL,Apple Inc.,Dec 2012,76.01
AAPL,Apple Inc.,Jan 2013,71.12
AAPL,Apple Inc.,Feb 2013,65.28
AAPL,Apple Inc.,Mar 2013,63.12
AAPL,Apple Inc.,Apr 2013,59.97
AAPL,Apple Inc.,May 2013,63.78
AAPL,Apple Inc.,Jun 2013,60.79
AAPL,Apple Inc.,Jul 2013,61.31
AAPL,Apple Inc.,Aug 2013,69.26
AAPL,Apple Inc.,Sep 2013,68.6
AAPL,Apple Inc.,Oct 2013,72.11
